idx,date,week,day,time,id,step,loc
530,09월 08일,3,6,17:00,,,강남
531,09월 08일,3,6,17:30,,,강남
532,09월 08일,3,6,18:00,,,강남
533,09월 08일,3,6,18:30,,,강남
534,09월 08일,3,6,19:00,,,강남
535,09월 08일,3,6,19:30,,,강남
536,09월 08일,3,6,20:00,,,강남
537,09월 08일,3,6,20:30,,,강남
538,09월 08일,3,6,21:00,,,강남
539,09월 08일,3,6,21:30,,,강남
540,09월 08일,3,6,22:00,,,강남
541,09월 09일,3,7,9:00,아침수업,,강남
542,09월 09일,3,7,9:30,아침수업,,강남
543,09월 09일,3,7,10:00,아침수업,,강남
544,09월 09일,3,7,10:30,아침수업,,강남
545,09월 09일,3,7,11:00,아침수업,,강남
546,09월 09일,3,7,11:30,아침수업,,강남
547,09월 09일,3,7,12:00,아침수업,,강남
548,09월 09일,3,7,12:30,아침수업,,강남
549,09월 09일,3,7,13:00,아침수업,,강남
550,09월 09일,3,7,13:30,아침수업,,강남
551,09월 09일,3,7,14:00,,,강남
552,09월 09일,3,7,14:30,,,강남
553,09월 09일,3,7,15:00,,,강남
554,09월 09일,3,7,15:30,,,강남
555,09월 09일,3,7,16:00,,,강남
556,09월 09일,3,7,16:30,,,강남
557,09월 09일,3,7,17:00,,,강남
558,09월 09일,3,7,17:30,,,강남
559,09월 09일,3,7,18:00,,,강남
560,09월 09일,3,7,18:30,,,강남
561,09월 09일,3,7,19:00,,,강남
562,09월 09일,3,7,19:30,,,강남
563,09월 09일,3,7,20:00,,,강남
564,09월 09일,3,7,20:30,,,강남
565,09월 09일,3,7,21:00,,,강남
566,09월 09일,3,7,21:30,,,강남
567,09월 09일,3,7,22:00,,,강남
568,09월 10일,4,1,9:00,아침수업,,신촌
569,09월 10일,4,1,9:30,아침수업,,신촌
570,09월 10일,4,1,10:00,아침수업,,신촌
571,09월 10일,4,1,10:30,아침수업,,신촌
572,09월 10일,4,1,11:00,아침수업,,신촌
573,09월 10일,4,1,11:30,아침수업,,신촌
574,09월 10일,4,1,12:00,아침수업,,신촌
575,09월 10일,4,1,12:30,아침수업,,신촌
576,09월 10일,4,1,13:00,아침수업,,신촌
577,09월 10일,4,1,13:30,아침수업,,신촌
578,09월 10일,4,1,14:00,,,신촌
579,09월 10일,4,1,14:30,,,신촌
580,09월 10일,4,1,15:00,,,신촌
581,09월 10일,4,1,15:30,,,신촌
582,09월 10일,4,1,16:00,,,신촌
583,09월 10일,4,1,16:30,,,신촌
584,09월 10일,4,1,17:00,,,신촌
585,09월 10일,4,1,17:30,,,신촌
586,09월 10일,4,1,18:00,,,신촌
587,09월 10일,4,1,18:30,저녁수업,,신촌
588,09월 10일,4,1,19:00,저녁수업,,신촌
589,09월 10일,4,1,19:30,저녁수업,,신촌
590,09월 10일,4,1,20:00,저녁수업,,신촌
591,09월 10일,4,1,20:30,저녁수업,,신촌
592,09월 10일,4,1,21:00,저녁수업,,신촌
593,09월 10일,4,1,21:30,저녁수업,,신촌
594,09월 10일,4,1,22:00,저녁수업,,신촌
595,09월 11일,4,2,9:00,아침수업,,강남
